timestamp,symbol,action,price,amount,status,strategy,market_state,pnl,duration_seconds
2026-04-08 15:05:20,BTC/USDT,buy,68487.93,0.00029202225852058896,closed,Range Strategy,RANGE,0.0,0
2026-04-08 15:05:21,BTC/USDT,PARTIAL_SELL,69359.9,0.00014601112926029448,closed,UNKNOWN,UNKNOWN,0.12731732438109913,0
2026-04-08 15:05:23,BTC/USDT,sell,71259.11,0.00014601112926029448,closed,UNKNOWN,UNKNOWN,0.404623121183544,2
2026-04-08 15:09:58,BTC/USDT,buy,68487.93,0.00029202225852058896,closed,Range Strategy,RANGE,0.0,0
2026-04-08 15:10:01,BTC/USDT,PARTIAL_SELL,69359.9,0.00014601112926029448,closed,UNKNOWN,UNKNOWN,0.12731732438109913,2
2026-04-08 15:10:06,BTC/USDT,sell,71259.11,0.00014601112926029448,closed,UNKNOWN,UNKNOWN,0.404623121183544,7
2026-04-08 15:11:30,BTC/USDT,buy,68487.93,0.00029202225852058896,closed,Range Strategy,RANGE,0.0,0
2026-04-08 15:11:32,BTC/USDT,PARTIAL_SELL,69359.9,0.00014601112926029448,closed,UNKNOWN,UNKNOWN,0.12731732438109913,2
2026-04-08 15:11:38,BTC/USDT,sell,71259.11,0.00014601112926029448,closed,UNKNOWN,UNKNOWN,0.404623121183544,7
2026-04-08 15:20:45,BTC/USDT,buy,66764.54,0.00029956021564740806,closed,Range Strategy,RANGE,0.0,0
2026-04-08 15:21:00,BTC/USDT,PARTIAL_SELL,67499.99,0.00014978010782370403,closed,UNKNOWN,UNKNOWN,0.11015578029894488,15
2026-04-08 15:21:16,BTC/USDT,sell,69540.95,0.00014978010782370403,closed,UNKNOWN,UNKNOWN,0.41585098916281066,31
2026-04-08 15:24:08,BTC/USDT,buy,71293.22,0.0002805315849108793,closed,Range Strategy,RANGE,0.0,0
2026-04-08 15:24:50,BTC/USDT,buy,71787.46,0.00027860019006104963,closed,Trend Strategy,TREND,0.0,0
2026-04-08 15:25:09,BTC/USDT,buy,66764.54,0.00029956021564740806,closed,Range Strategy,RANGE,0.0,0
2026-04-08 15:25:10,BTC/USDT,PARTIAL_SELL,67499.99,0.00014978010782370403,closed,UNKNOWN,UNKNOWN,0.11015578029894488,0
